Date,Price,Open,High,Low,Percent,Diff
2025-01-08,34.59,34.595,34.745,34.475,0.0,0.0
2025-01-09,34.57,34.62,34.75,34.52,-0.0578,-0.02
2025-01-10,34.61,34.58,34.8,34.47,0.1157,0.04
2025-01-11,34.5867,34.6133,34.8167,34.5133,-0.0674,-0.0233
2025-01-12,34.5633,34.6467,34.8333,34.5567,-0.0675,-0.0233
2025-01-13,34.54,34.68,34.85,34.6,-0.0675,-0.0233
2025-01-14,34.64,34.72,34.815,34.625,0.2895,0.1
2025-01-15,34.41,34.66,34.825,34.475,-0.664,-0.23
2025-01-16,34.47,34.58,34.67,34.43,0.1744,0.06
2025-01-17,34.36,34.59,34.64,34.33,-0.3191,-0.11
2025-01-18,34.2667,34.4917,34.6017,34.2317,-0.2716,-0.0933
2025-01-19,34.1733,34.3933,34.5633,34.1333,-0.2724,-0.0933
2025-01-20,34.08,34.295,34.525,34.035,-0.2731,-0.0933
2025-01-21,33.96,34.11,34.26,33.905,-0.3521,-0.12
2025-01-22,33.87,33.97,34.04,33.765,-0.265,-0.09
2025-01-23,33.96,33.905,34.065,33.83,0.2657,0.09
2025-01-24,33.54,33.99,34.05,33.525,-1.2367,-0.42
2025-01-25,33.62,33.8617,33.9767,33.5433,0.2385,0.08
2025-01-26,33.7,33.7333,33.9033,33.5617,0.238,0.08
2025-01-27,33.78,33.605,33.83,33.58,0.2374,0.08
2025-01-28,33.86,33.79,33.99,33.75,0.2368,0.08
2025-01-29,33.72,33.865,33.91,33.665,-0.4135,-0.14
2025-01-30,33.62,33.74,33.825,33.525,-0.2966,-0.1
2025-01-31,33.77,33.63,33.82,33.525,0.4462,0.15
2025-02-01,33.7933,33.765,33.9383,33.62,0.0691,0.0233
2025-02-02,33.8167,33.9,34.0567,33.715,0.069,0.0233
2025-02-03,33.84,34.035,34.175,33.81,0.069,0.0233
2025-02-04,33.64,33.87,33.99,33.605,-0.591,-0.2
2025-02-05,33.52,33.67,33.775,33.48,-0.3567,-0.12
2025-02-06,33.78,33.565,33.88,33.52,0.7757,0.26
2025-02-07,33.87,33.81,33.91,33.57,0.2664,0.09
