Date,Price,Open,High,Low,Percent,Diff
2024-10-16,33.21,33.3,33.41,33.125,0.0,0.0
2024-10-17,33.17,33.23,33.275,33.14,-0.1204,-0.04
2024-10-18,33.1,33.19,33.27,33.07,-0.211,-0.07
2024-10-19,33.23,33.1667,33.36,33.0717,0.3927,0.13
2024-10-20,33.36,33.1433,33.45,33.0733,0.3912,0.13
2024-10-21,33.49,33.12,33.54,33.075,0.3897,0.13
2024-10-22,33.48,33.515,33.57,33.45,-0.0299,-0.01
2024-10-23,33.79,33.5,33.845,33.475,0.9259,0.31
2024-10-24,33.66,33.8,33.85,33.605,-0.3847,-0.13
2024-10-25,33.782,33.7,33.83,33.648,0.3624,0.122
