Date,Price,Open,High,Low,Volume,Change,Unit
2024-09-02,2499.29,2502.74,2507.5,2490.14,0.0,-0.15,0.0
2024-09-03,2492.76,2500.5,2506.44,2473.25,0.0,-0.26,-6.53
2024-09-04,2494.84,2492.94,2500.2,2471.95,0.0,0.08,2.08
2024-09-05,2516.32,2495.5,2523.54,2493.76,0.0,0.86,21.48
2024-09-06,2497.03,2516.9,2529.3,2485.15,0.0,-0.77,-19.29
2024-09-07,2499.77,2510.3733333333334,2522.0066666666667,2485.3,0.0,0.0,2.74
2024-09-08,2502.51,2503.846666666667,2514.7133333333336,2485.45,0.0,0.0,2.74
2024-09-09,2505.25,2497.32,2507.42,2485.6,0.0,0.33,2.74
2024-09-10,2516.12,2506.84,2518.57,2500.16,0.0,0.43,10.87
2024-09-11,2511.44,2515.7,2529.4,2501.01,0.0,-0.19,-4.68
2024-09-12,2558.75,2512.02,2560.21,2511.02,0.0,1.88,47.31
2024-09-13,2576.5,2556.52,2586.18,2556.52,0.0,0.69,17.75
2024-09-14,2578.5266666666666,2563.7,2587.38,2562.8133333333335,0.0,0.0,2.03
2024-09-15,2580.5533333333333,2570.88,2588.58,2569.1066666666666,0.0,0.0,2.03
2024-09-16,2582.58,2578.06,2589.78,2575.4,0.0,0.24,2.03
2024-09-17,2569.52,2582.46,2587.01,2560.84,0.0,-0.51,-13.06
2024-09-18,2559.16,2571.73,2600.21,2546.98,0.0,-0.4,-10.36
2024-09-19,2586.48,2559.07,2594.89,2551.26,0.0,1.07,27.32
2024-09-20,2621.96,2587.5,2625.79,2584.81,0.0,1.37,35.48
2024-09-21,2624.1066666666666,2598.9366666666665,2629.04,2594.4066666666668,0.0,0.0,2.15
2024-09-22,2626.2533333333336,2610.3733333333334,2632.29,2604.003333333333,0.0,0.0,2.15
2024-09-23,2628.4,2621.81,2635.54,2613.6,0.0,0.25,2.15
2024-09-24,2656.7,2628.92,2664.47,2622.58,0.0,1.08,28.3
2024-09-25,2656.82,2655.9,2670.6,2649.84,0.0,0.0,0.12
2024-09-26,2670.2,2657.32,2685.96,2654.56,0.0,0.5,13.38
2024-09-27,2657.97,2669.5,2674.4,2643.15,0.0,-0.46,-12.23
2024-09-28,2650.143333333333,2665.766666666667,2671.6366666666668,2637.0266666666666,0.0,0.0,-7.83
2024-09-29,2642.3166666666666,2662.0333333333333,2668.8733333333334,2630.9033333333336,0.0,0.0,-7.83
2024-09-30,2634.49,2658.3,2666.11,2624.78,0.0,-0.88,-7.83
2024-10-01,2662.82,2635.41,2673.2,2631.98,0.0,1.08,28.33
2024-10-02,2658.95,2660.45,2663.32,2641.27,0.0,-0.15,-3.87
