Date,Price,Open,High,Low,Percent,Diff
2010-12-27,4.5541,4.551,4.5755,4.5358,0.0,0.0
2010-12-28,4.5556,4.5492,4.5724,4.5437,0.0329,0.0015
2010-12-29,4.5541,4.5541,4.5752,4.5461,-0.0329,-0.0015
2010-12-30,4.5649,4.5509,4.5732,4.5471,0.2371,0.0108
2010-12-31,4.5618,4.5602,4.5736,4.545,-0.0679,-0.0031
2011-01-01,4.5623,4.5598,4.5745,4.5457,0.0102,0.0005
2011-01-02,4.5627,4.5595,4.5754,4.5463,0.0102,0.0005
2011-01-03,4.5632,4.5591,4.5763,4.547,0.0102,0.0005
2011-01-04,4.5527,4.5601,4.569,4.5417,-0.2301,-0.0105
2011-01-05,4.564,4.5509,4.5861,4.5332,0.2482,0.0113
2011-01-06,4.5689,4.562,4.5861,4.5456,0.1074,0.0049
2011-01-07,4.5781,4.5605,4.5992,4.5545,0.2014,0.0092
2011-01-08,4.5952,4.565,4.6128,4.5567,0.3735,0.0171
2011-01-09,4.6123,4.5694,4.6264,4.5589,0.3721,0.0171
2011-01-10,4.6294,4.5739,4.64,4.5611,0.3707,0.0171
2011-01-11,4.6107,4.6163,4.6486,4.603,-0.4039,-0.0187
2011-01-12,4.5992,4.6072,4.6122,4.5779,-0.2494,-0.0115
2011-01-13,4.5984,4.5965,4.6211,4.5833,-0.0174,-0.0008
2011-01-14,4.629,4.6059,4.6349,4.5989,0.6654,0.0306
2011-01-15,4.6338,4.6123,4.6414,4.6057,0.103,0.0048
2011-01-16,4.6385,4.6187,4.648,4.6126,0.1029,0.0048
2011-01-17,4.6433,4.6251,4.6545,4.6194,0.1028,0.0048
2011-01-18,4.6292,4.6302,4.6631,4.6176,-0.3037,-0.0141
2011-01-19,4.6274,4.6222,4.6374,4.6062,-0.0389,-0.0018
2011-01-20,4.6502,4.6242,4.6539,4.6242,0.4927,0.0228
2011-01-21,4.6593,4.643,4.6718,4.6325,0.1957,0.0091
2011-01-22,4.6735,4.6471,4.6849,4.6391,0.3055,0.0142
2011-01-23,4.6878,4.6511,4.698,4.6457,0.3046,0.0142
2011-01-24,4.702,4.6552,4.7111,4.6523,0.3036,0.0142
2011-01-25,4.701,4.6966,4.7279,4.6929,-0.0213,-0.001
2011-01-26,4.6804,4.6986,4.7089,4.6681,-0.4382,-0.0206
