Date,Price,Open,High,Low,Percent,Diff
2024-10-16,4.6633,4.6678,4.6862,4.6525,0.0,0.0
2024-10-17,4.6514,4.6639,4.6662,4.6484,-0.2552,-0.0119
2024-10-18,4.6562,4.6451,4.6681,4.641,0.1032,0.0048
2024-10-19,4.6723,4.6502,4.6816,4.6473,0.3458,0.0161
2024-10-20,4.6884,4.6554,4.6951,4.6536,0.3446,0.0161
2024-10-21,4.7045,4.6605,4.7086,4.6599,0.3434,0.0161
2024-10-22,4.6968,4.6951,4.7077,4.6929,-0.1637,-0.0077
2024-10-23,4.7421,4.6918,4.7429,4.6918,0.9645,0.0453
2024-10-24,4.7323,4.737,4.746,4.7189,-0.2067,-0.0098
2024-10-25,4.7433,4.7347,4.7478,4.7261,0.2324,0.011
